

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
116.549  000.257  000.135: require('nvim-autopairs.rules.ts_basic')
117.088  000.125  000.125: require('nvim-autopairs.completion.handlers')
123.276  000.134  000.134: require('luasnip.util.types')
123.398  000.116  000.116: require('luasnip.util.ext_opts')
123.816  000.148  000.148: require('luasnip.session')
124.778  001.263  001.115: require('luasnip.util.util')
124.786  001.383  000.120: require('luasnip.extras.filetype_functions')
124.825  003.543  001.910: require('luasnip.config')
125.294  000.125  000.125: require('luasnip.nodes.key_indexer')
125.310  000.306  000.181: require('luasnip.nodes.util')
125.570  000.114  000.114: require('luasnip.session.snippet_collection.source')
125.579  000.266  000.153: require('luasnip.session.snippet_collection')
125.960  000.120  000.120: require('luasnip.util.select')
126.199  000.479  000.359: require('luasnip.util._builtin_vars')
126.234  000.652  000.173: require('luasnip.util.environ')
126.367  000.130  000.130: require('luasnip.util.extend_decorator')
126.690  000.139  000.139: require('luasnip.loaders._caches')
127.006  000.194  000.194: require('luasnip.util.path')
127.016  000.320  000.126: require('luasnip.loaders.util')
127.028  000.657  000.197: require('luasnip.loaders')
127.269  000.232  000.232: require('luasnip.util.log')
127.291  002.461  000.218: require('luasnip')
127.328  006.331  000.327: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/LuaSnip/plugin/luasnip.lua
127.450  000.040  000.040: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/LuaSnip/plugin/luasnip.vim
127.853  000.119  000.119: require('cmp.utils.api')
128.219  000.118  000.118: require('cmp.types.cmp')
128.463  000.115  000.115: require('cmp.utils.misc')
128.489  000.264  000.149: require('cmp.types.lsp')
128.598  000.106  000.106: require('cmp.types.vim')
128.604  000.744  000.256: require('cmp.types')
128.754  000.147  000.147: require('cmp.utils.highlight')
129.220  000.130  000.130: require('cmp.utils.debug')
129.229  000.470  000.340: require('cmp.utils.autocmd')
129.436  001.838  000.358: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/nvim-cmp/plugin/cmp.lua
130.321  000.182  000.182: require('cmp.utils.char')
130.332  000.389  000.207: require('cmp.utils.str')
131.005  000.242  000.242: require('cmp.utils.buffer')
131.028  000.555  000.313: require('cmp.utils.keymap')
131.035  000.700  000.146: require('cmp.utils.feedkeys')
131.665  000.219  000.219: require('cmp.config.mapping')
131.794  000.124  000.124: require('cmp.utils.cache')
132.070  000.145  000.145: require('cmp.config.compare')
132.075  000.275  000.130: require('cmp.config.default')
132.083  000.871  000.253: require('cmp.config')
132.096  001.058  000.187: require('cmp.utils.async')
132.300  000.085  000.085: require('cmp.utils.pattern')
132.306  000.199  000.114: require('cmp.context')
132.596  000.092  000.092: require('cmp.matcher')
132.603  000.198  000.106: require('cmp.entry')
132.609  000.300  000.102: require('cmp.source')
132.822  000.086  000.086: require('cmp.utils.event')
133.090  000.082  000.082: require('cmp.utils.options')
133.096  000.180  000.098: require('cmp.utils.window')
133.100  000.273  000.093: require('cmp.view.docs_view')
133.209  000.107  000.107: require('cmp.view.custom_entries_view')
133.315  000.102  000.102: require('cmp.view.wildmenu_entries_view')
133.413  000.094  000.094: require('cmp.view.native_entries_view')
